	music #	name	performer	time	price	venue
0	4	►全场畅饮◀ 夜猫歌舞厅 音乐交流分享 劲歌热舞派对	艺人：夜猫全明星	时间：2021/10/16 20:30	价格：¥128起	[上海]上海 MAO Livehouse
1	4	DIASPORA  流放山脉	艺人：DJ SUIKI/CHICA/Fat-K/DJ EBP/Edison Chen	时间：2021/10/16 22:00	价格：¥80	[上海]POTENT
2	4	►全场畅饮◀ 夜猫俱乐部「KPOP ALL NIGHT Vol.5」女团专场-甜心狙击特辑	艺人：MC饼干/DJ猪猪iUkoo	时间：2021/10/16 23:30	价格：¥168	[上海]上海 MAO Livehouse
3	4	明堂唱片 2021全明星夏末巡演 上海站	艺人：夏之禹/李丁丁MIA AIM/DOLLARZOO陶乐然/DJ GAVINTOO 白天不亮/地磁卡	时间：2021/10/17 20:30	价格：¥180起	[上海]瓦肆 VAS SHANGHAI
4	4	飞行计划之“矢控玩家”电音派对 | 坐标MASTER，三厅畅玩，“鱿鱼游戏”空降现场，电音派对还能这么玩儿！？	艺人：待定	时间：2021/10/22 20:00	价格：¥128	[上海]MASTER光影艺术互动空间
5	4	千禧复古联盟 Vol.5 | 拍立得的青春	艺人：A.V.O 蒸汽所（厂牌艺人）	时间：2021/10/22 23:00	价格：¥100起	[上海]上海 MODERNSKY LAB
6	4	TRAP WARPATH 陷阱征途电子音乐派对2.0 上海站	艺人：DIE MELON/DETOX	时间：2021/10/22 23:30	价格：¥120起	[上海]上海 MAO Livehouse
7	4	Kile绮丽偶像日 Vol.2	艺人：Ouroboros/DJ HOMEDA/凌晨12点/花生一夏/STARWINK少女队	时间：2021/10/24 12:00	价格：¥108起	[上海]上海 MAO Livehouse
8	4	夜猫俱乐部 × tabby the cat Swing Dance Party Night	艺人：夜猫全明星	时间：2021/10/29 20:30	价格：¥88起	[上海]上海 MAO Livehouse
9	4	全场畅饮｜夜猫俱乐部 青春回忆ktv之「港台男星」专场	艺人：MC饼干/DJ多面体akaEastman	时间：2021/10/29 23:20	价格：¥88起	[上海]上海 MAO Livehouse
10	4	Monster Massive 沉浸式音乐狂欢-上海站	艺人：muscle lee/Aki/Kin j/RACO/ MMQ/李化禹/眠N3MU/黑泽与大波/DJ LU	时间：2021/10/30 21:00	价格：¥160起	[上海]上海 MODERNSKY LAB
11	4	[全场畅饮] 万圣节魔仙堡「僵心比心」变装派对 23:00场 上海站	艺人：DJ白熊/Lotus Root藕乐队/DJ多面体akaEastman/Yinmachi(饮马池）/MC螳少	时间：2021/10/30 23:00	价格：¥120起	[上海]上海 MAO Livehouse
12	4	Overheat Fes. Halloween Special	艺人：Ouroboros/BLOOM乐队/DJ HOMEDA/凌晨12点/CKS/花生一夏/究極Ultima/STARWINK少女队	时间：2021/10/31 13:30	价格：¥98起	[上海]LOFAS
13	4	FREAK OUT 2021 万圣节派对 上海站	艺人：Terry Zhong/深蓝儿童/徐圣恩/那奇沃夫	时间：2021/10/31 18:00	价格：¥280起	[上海]TAXX
14	4	[全场畅饮] 万圣节魔仙堡「贞心实意」变装派对 上海站	艺人：Receiver收件人乐队/dj恒横衡/DJ多面体akaEastman/MC螳少	时间：2021/10/31 21:00	价格：¥180起	[上海]上海 MAO Livehouse
15	4	[全场畅饮] 万圣节魔仙堡「暮光倾心」变装派对上海站	艺人：发条卤蛋/MC饼干/DJ多面体akaEastman/延误线	时间：2021/11/01 21:00	价格：¥120起	[上海]上海 MAO Livehouse
16	4	WayLife2021巡演《就这么一场无聊的演出》  上海站	艺人：陈壹千AmyChanrich/WayLife_生活方式	时间：2021/11/05 19:30	价格：¥90起	[上海]育音堂（凯旋店）
17	4	阿克江 x VISUDY 2021「HEART BEAT WAVEFORM」巡演 上海站	艺人：VISUDY/阿克江 LilAkin	时间：2021/11/27 20:00	价格：¥159起	[上海]上海 MODERNSKY LAB
18	4	「无中生有」TC乔安娜联合巡演 上海站	艺人：TC乔安娜/Dionysian（酒神精神）	时间：2021/12/19 20:30	价格：¥80起	[上海]育音堂（凯旋店）
