	music #	name	performer	time	price	venue
0	6	J-LOOP· 朱星杰2021专辑同名城市巡演-上海站	艺人：朱星杰	时间：2021/10/17 20:00	价格：¥280起	[上海]上海 MODERNSKY LAB
1	6	明堂唱片 2021全明星夏末巡演 上海站	艺人：夏之禹/李丁丁MIA AIM/DOLLARZOO陶乐然/DJ GAVINTOO 白天不亮/地磁卡	时间：2021/10/17 20:30	价格：¥180起	[上海]瓦肆 VAS SHANGHAI
2	6	Urban Chilling Autumn 初秋温凉浪漫夜 上海站	艺人：Code-A/zc木蘭/海妖乐队/渡洛西汀Duloxetine	时间：2021/10/22 20:00	价格：¥140起	[上海]育音堂音乐公园
3	6	【秀动呈献】那吾克热-NW 2021“比法尼”巡演 上海站	艺人：那吾克热-NW/Swang多雷/福克斯	时间：2021/10/28 20:00	价格：¥160起	[上海]上海 MODERNSKY LAB
4	6	激战纪元	艺人：Chaos mind/Burns Inside乐队/Rampage Time猖獗一时/BLACK VE$PID黑蜂	时间：2021/10/29 20:00	价格：¥80起	[上海]育音堂（凯旋店）
5	6	FREAK OUT 2021 万圣节派对 上海站	艺人：Terry Zhong/深蓝儿童/徐圣恩/那奇沃夫	时间：2021/10/31 18:00	价格：¥280起	[上海]TAXX
6	6	[ 次元破壁机 ] 2021 吉丁Kiddin 新专巡演 上海站	艺人：宝藏山-金跳造/宝藏山-三册柏/木秦/吉丁Kiddin	时间：2021/11/05 20:30	价格：¥150起	[上海]LOFAS
7	6	《THE CHOSEN GIRL》 仙女RAPPER职业竞技大赛 上海站	艺人：阿克江 LilAkin/YOCHO/Y.A/Krizy/SJ/蒋益悦Bba/凢/椅子不够酷/Ony/AFA/阿雪Fxx/林逸怀	时间：2021/11/06 20:00	价格：¥100起	[上海]LOFAS
8	6	PO8「蝴蝶的罪恶感」2021专辑同名巡演 上海站	艺人：PO8	时间：2021/11/13 20:30	价格：¥168起	[上海]上海 MAO Livehouse
9	6	龙韬5cool小分队 《DON’T RUN》上海站	艺人：Doggie/沙一汀/石玺彤/YUNGK2/钟骏一/林煜修	时间：2021/11/19 20:00	价格：¥228起	[上海]上海 MODERNSKY LAB
10	6	时空维度spacetime上海巡演站	艺人：力狗STITCH/毕冉/王新宇/刘俊伸	时间：2021/11/25 20:00	价格：¥50起	[上海]育音堂（凯旋店）
11	6	阿克江 x VISUDY 2021「HEART BEAT WAVEFORM」巡演 上海站	艺人：VISUDY/阿克江 LilAkin	时间：2021/11/27 20:00	价格：¥159起	[上海]上海 MODERNSKY LAB
12	6	【上海】街舞天空—大师的启蒙赵文翰HIPHOP唯舞专场¬¬	艺人：赵文翰	时间：2021/12/11 19:30	价格：¥122起	[上海]上海黄浦剧场——小剧场
