	music #	name	performer	time	price	venue
0	26	BYE BYE POSTROCK! |Pentatonic乐队十周年现场 上海站	艺人：pentatonic/21Grams	时间：2021/10/16 19:30	价格：¥120起	[上海]万代南梦宫上海文化中心 2F未来剧场
1	26	【秀动呈献】Mary See the Future 先知玛莉 2021 《梅雨季》巡演 上海站	艺人：先知玛莉MarySeetheFuture	时间：2021/10/16 20:15	价格：¥130起	[上海]上海 MAO Livehouse
2	26	浪漫包邮：秋意黄昏 上海站	艺人：沉舟乐队/失联盐分lost salt/逃走鲍伯	时间：2021/10/17 20:00	价格：¥88起	[上海]育音堂音乐公园
3	26	WUO【无聊周末】上海站——结冰水，跳大海，霓虹之下，报警alarm	艺人：跳大海/报警alarm乐队/结冰水/霓虹之下UnderTheNeon	时间：2021/10/21 20:00	价格：¥120起	[上海]上海 MAO Livehouse
4	26	Urban Chilling Autumn 初秋温凉浪漫夜 上海站	艺人：Code-A/zc木蘭/海妖乐队/渡洛西汀Duloxetine	时间：2021/10/22 20:00	价格：¥140起	[上海]育音堂音乐公园
5	26	Sonicave【荒诞故事集】2021巡演 上海站	艺人：Sonicave	时间：2021/10/22 20:30	价格：¥80起	[上海]育音堂（凯旋店）
6	26	别管工作了，跟我一起逃走吧	艺人：秋日疾走/Sheep's Bed/失联盐分lost salt/AgainstAll对尖	时间：2021/10/23 20:30	价格：¥50起	[上海]NEO Bar
7	26	10.24 我很想认识你 | 迷幻世界乐队2021巡演第二轮 上海站	艺人：迷幻世界乐队	时间：2021/10/24 20:30	价格：¥110起	[上海]万代南梦宫上海文化中心 2F未来剧场
8	26	与死去爱人共舞 ——— The Molds“ Dancing With The Dead Lover ” 巡演 上海站	艺人：The Molds	时间：2021/10/24 20:30	价格：¥90起	[上海]上海 MAO Livehouse
9	26	Diels-Alder 复建行动 上海站	艺人：飞行游戏/Diels-Alder/Fliphouse	时间：2021/10/24 20:30	价格：¥80起	[上海]育音堂（凯旋店）
10	26	2021 万圣节“向经典致敬”专场演出 Day 1 	艺人：Round Eye/明天的盐/Deku/Loose Booty/Trash Panda	时间：2021/10/29 20:00	价格：¥120起	[上海]育音堂音乐公园
11	26	予约——时过夏末2021巡演上海站	艺人：时过夏末	时间：2021/10/30 20:30	价格：¥120起	[上海]万代南梦宫上海文化中心 2F未来剧场
12	26	FREAK OUT 2021 万圣节派对 上海站	艺人：Terry Zhong/深蓝儿童/徐圣恩/那奇沃夫	时间：2021/10/31 18:00	价格：¥280起	[上海]TAXX
13	26	[全场畅饮] 万圣节魔仙堡「暮光倾心」变装派对上海站	艺人：发条卤蛋/MC饼干/DJ多面体akaEastman/延误线	时间：2021/11/01 21:00	价格：¥120起	[上海]上海 MAO Livehouse
14	26	2021傻子与白痴《Year of Fate》新专辑巡演-上海站（11月4日）	艺人：傻子与白痴	时间：2021/11/04 20:30	价格：¥200起	[上海]上海 MODERNSKY LAB
15	26	【京A别闹】肆囍 上海专场	艺人：肆囍乐队	时间：2021/11/05 20:00	价格：¥150起	[上海]万代南梦宫上海文化中心 2F未来剧场
16	26	2021傻子与白痴《Year of Fate》新专辑巡演-上海站（11月5日）	艺人：傻子与白痴	时间：2021/11/05 20:30	价格：¥200起	[上海]上海 MODERNSKY LAB
17	26	潮池蓝「深夜出走」2021巡演 上海站	艺人：潮池蓝	时间：2021/11/07 20:30	价格：¥80起	[上海]育音堂音乐公园
18	26	皇后皮箱「大梦初醒」2021巡回 上海站	艺人：皇后皮箱	时间：2021/11/09 20:30	价格：¥120起	[上海]上海 MAO Livehouse
19	26	倒车入库《出入平安》2021巡演 上海站	艺人：倒车入库	时间：2021/11/11 20:30	价格：¥90起	[上海]育音堂音乐公园
