	music #	name	performer	time	price	venue
0	3	Da Pink！彭楚粤 「自顾自的蓝」2021生日音乐会	艺人：彭楚粤	时间：2021/10/16 20:00	价格：¥480起	[上海]万代南梦宫上海文化中心 1F梦想剧场
1	3	高剑《无敌欢乐》巡演 上海站	艺人：高剑/王锶颖	时间：2021/10/16 20:30	价格：¥120起	[上海]LOFAS
2	3	【秀动呈献】买辣椒也用券 2021「与我有关」巡演 上海站	艺人：买辣椒也用券	时间：2021/10/16 20:30	价格：¥120起	[上海]瓦肆 VAS SHANGHAI
3	3	李紫婷“FIND MI. ME”巡回音乐分享会（上海站）	艺人：李紫婷	时间：2021/10/22 19:30	价格：¥280起	[上海]瓦肆 VAS SHANGHAI
4	3	上海 | 10月22日「看得见房间的风景 A Wander Without Guide」喜辰晨 高太行 白天 闵艺 俞国俊	艺人：高太行/白天/喜辰晨/俞国俊	时间：2021/10/22 20:00	价格：¥150	[上海]Blue Note Shanghai
5	3	Leo1Bee「Shy Boy Leo」Fall 2021 Mini Tour - 上海站	艺人：Leo1Bee	时间：2021/10/22 20:30	价格：¥128起	[上海]万代南梦宫上海文化中心 2F未来剧场
6	3	「地心引力」李阳彬专场演出	艺人：李阳彬	时间：2021/10/23 20:00	价格：¥88	[上海]THE BOXX城市乐园
7	3	【蓝心羽】2021《别怕，有光》巡演上海站	艺人：蓝心羽	时间：2021/10/23 20:30	价格：¥100起	[上海]上海 MAO Livehouse
8	3	Kile绮丽偶像日 Vol.2	艺人：Ouroboros/DJ HOMEDA/凌晨12点/花生一夏/STARWINK少女队	时间：2021/10/24 12:00	价格：¥108起	[上海]上海 MAO Livehouse
9	3	2021熊猫堂emo了巡回演唱会-上海站	艺人：熊猫堂ProducePandas	时间：2021/10/24 19:30	价格：¥198起	[上海]上海 MODERNSKY LAB
10	3	刘莉旻「给我世界最坏的吻」2021巡演 上海站	艺人：刘莉旻	时间：2021/10/24 20:00	价格：¥80起	[上海]育音堂音乐公园
11	3	"【秀动呈献】凯瑟喵「something we called ""ROMANCE""」个人巡演 上海站"	艺人：凯瑟喵	时间：2021/10/24 20:30	价格：¥120起	[上海]瓦肆 VAS SHANGHAI
12	3	刘卓辉•岁月无声30年BEYOND正传演唱会	艺人：极光乐队/刘卓辉	时间：2021/10/28 19:30	价格：¥198起	[上海]LOFAS
13	3	甜约翰「Search by a kiss」2021大陆巡回演出-上海站	艺人：Sweet John 甜约翰	时间：2021/10/29 20:00	价格：¥120起	[上海]万代南梦宫上海文化中心 1F梦想剧场
14	3	甜约翰「Search by a kiss」2021大陆巡回演出-上海站	艺人：Sweet John 甜约翰	时间：2021/10/30 20:00	价格：¥120起	[上海]万代南梦宫上海文化中心 1F梦想剧场
15	3	Overheat Fes. Halloween Special	艺人：Ouroboros/BLOOM乐队/DJ HOMEDA/凌晨12点/CKS/花生一夏/究極Ultima/STARWINK少女队	时间：2021/10/31 13:30	价格：¥98起	[上海]LOFAS
16	3	【上海摩登站】2021万圣节“魔女惊魂”变装惊悚派对 —奇幻变身，重获新生！	艺人：夜管家乐队	时间：2021/10/31 19:00	价格：¥180起	[上海]上海 MODERNSKY LAB
17	3	【上海】2021万圣节“魔女惊魂”变装惊悚派对 —奇幻变身，重获新生-万代南梦宫站	艺人：夜管家乐队	时间：2021/10/31 19:00	价格：¥180起	[上海]万代南梦宫上海文化中心 2F未来剧场
18	3	【秀动呈献】“明天出道做偶像”孟凡明2021巡演 上海站	艺人：孟凡明	时间：2021/11/06 20:30	价格：¥100起	[上海]上海 MAO Livehouse
19	3	低音赵鹏 行吟2021·一期一会 上海专场	艺人：赵鹏	时间：2021/11/07 20:00	价格：¥200起	[上海]万代南梦宫上海文化中心 2F未来剧场
